,symbol,name,price,exchange,exchangeShortName,type
841,MO,"Altria Group, Inc.",44.79,New York Stock Exchange,NYSE,stock
889,NOMD,Nomad Foods Limited,19.82,New York Stock Exchange,NYSE,stock
904,STZ,"Constellation Brands, Inc.",268.5,New York Stock Exchange,NYSE,stock
981,UNFI,"United Natural Foods, Inc.",12.04,New York Stock Exchange,NYSE,stock
1025,BTI,British American Tobacco p.l.c.,30.98,New York Stock Exchange,NYSE,stock
1039,CL,Colgate-Palmolive Company,88.35,New York Stock Exchange,NYSE,stock
1077,KLG,WK Kellogg Co,17.38,New York Stock Exchange,NYSE,stock
1102,ACI,"Albertsons Companies, Inc.",20.99,New York Stock Exchange,NYSE,stock
1104,FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",128.34,New York Stock Exchange,NYSE,stock
1107,BGS,"B&G Foods, Inc.",11.02,New York Stock Exchange,NYSE,stock
1119,DAR,Darling Ingredients Inc.,45.72,New York Stock Exchange,NYSE,stock
1188,DOLE,Dole plc,11.93,New York Stock Exchange,NYSE,stock
1195,FDP,Fresh Del Monte Produce Inc.,25.12,New York Stock Exchange,NYSE,stock
1198,GROV,"Grove Collaborative Holdings, Inc.",1.88,New York Stock Exchange,NYSE,stock
1203,ELF,"e.l.f. Beauty, Inc.",200.54,New York Stock Exchange,NYSE,stock
1206,KO,The Coca-Cola Company,60.75,New York Stock Exchange,NYSE,stock
1384,NUS,"Nu Skin Enterprises, Inc.",12.71,New York Stock Exchange,NYSE,stock
1475,K,Kellogg Company,55.14,New York Stock Exchange,NYSE,stock
1491,KVUE,Kenvue Inc.,20.41,New York Stock Exchange,NYSE,stock
1526,PM,Philip Morris International Inc.,93.64,New York Stock Exchange,NYSE,stock
1533,DG,Dollar General Corporation,156.06,New York Stock Exchange,NYSE,stock
1605,CHD,"Church & Dwight Co., Inc.",103.01,New York Stock Exchange,NYSE,stock
1607,BJ,"BJ's Wholesale Club Holdings, Inc.",77.72,New York Stock Exchange,NYSE,stock
1665,CLX,The Clorox Company,150.49,New York Stock Exchange,NYSE,stock
1673,ABEV,Ambev S.A.,2.5,New York Stock Exchange,NYSE,stock
1676,DDL,Dingdong (Cayman) Limited,1.22,New York Stock Exchange,NYSE,stock
1713,BRBR,"BellRing Brands, Inc.",59.48,New York Stock Exchange,NYSE,stock
1717,RLX,RLX Technology Inc.,2.11,New York Stock Exchange,NYSE,stock
1785,EPC,Edgewell Personal Care Company,37.85,New York Stock Exchange,NYSE,stock
1884,AGRO,Adecoagro S.A.,10.63,New York Stock Exchange,NYSE,stock
1957,HRL,Hormel Foods Corporation,34.5,New York Stock Exchange,NYSE,stock
1974,BIG,"Big Lots, Inc.",4.09,New York Stock Exchange,NYSE,stock
1978,ATGE,Adtalem Global Education Inc.,49.59,New York Stock Exchange,NYSE,stock
2012,BG,Bunge Limited,97.41,New York Stock Exchange,NYSE,stock
2023,TPB,"Turning Point Brands, Inc.",29.28,New York Stock Exchange,NYSE,stock
2039,KMB,Kimberly-Clark Corporation,124.42,New York Stock Exchange,NYSE,stock
2064,TAL,TAL Education Group,12.06,New York Stock Exchange,NYSE,stock
2068,CPB,Campbell Soup Company,43.35,New York Stock Exchange,NYSE,stock
2097,UTZ,"Utz Brands, Inc.",18.41,New York Stock Exchange,NYSE,stock
2107,CAG,"Conagra Brands, Inc.",28.84,New York Stock Exchange,NYSE,stock
2139,EDU,New Oriental Education & Technology Group Inc.,94.15,New York Stock Exchange,NYSE,stock
2145,TR,"Tootsie Roll Industries, Inc.",32.35,New York Stock Exchange,NYSE,stock
2164,INGR,Ingredion Incorporated,116.57,New York Stock Exchange,NYSE,stock
2174,NAPA,"The Duckhorn Portfolio, Inc.",9.05,New York Stock Exchange,NYSE,stock
2191,DAO,"Youdao, Inc.",4.1,New York Stock Exchange,NYSE,stock
2194,COUR,"Coursera, Inc.",14.53,New York Stock Exchange,NYSE,stock
2199,GOTU,Gaotu Techedu Inc.,7.46,New York Stock Exchange,NYSE,stock
2200,GIS,"General Mills, Inc.",69.43,New York Stock Exchange,NYSE,stock
2246,BRCC,BRC Inc.,4.89,New York Stock Exchange,NYSE,stock
2259,FLO,"Flowers Foods, Inc.",23.07,New York Stock Exchange,NYSE,stock
2280,LRN,"Stride, Inc.",63.62,New York Stock Exchange,NYSE,stock
2318,CCU,Compañía Cervecerías Unidas S.A.,12.04,New York Stock Exchange,NYSE,stock
2349,USNA,"USANA Health Sciences, Inc.",48.59,New York Stock Exchange,NYSE,stock
2373,SKIL,Skillsoft Corp.,9.38,New York Stock Exchange,NYSE,stock
2394,ZVIA,Zevia PBC,1.09,New York Stock Exchange,NYSE,stock
2427,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",17.2,New York Stock Exchange,NYSE,stock
2434,HLF,Herbalife Nutrition Ltd.,8.9,New York Stock Exchange,NYSE,stock
2521,ASAI,Sendas Distribuidora S.A.,15.05,New York Stock Exchange,NYSE,stock
2531,BUD,Anheuser-Busch InBev SA/NV,60.07,New York Stock Exchange,NYSE,stock
2532,HSY,The Hershey Company,198.03,New York Stock Exchange,NYSE,stock
2552,SAM,"The Boston Beer Company, Inc.",295.38,New York Stock Exchange,NYSE,stock
2574,KR,The Kroger Co.,56.83,New York Stock Exchange,NYSE,stock
2604,PRMW,Primo Water Corporation,18.03,New York Stock Exchange,NYSE,stock
2621,SYY,Sysco Corporation,81.17,New York Stock Exchange,NYSE,stock
2629,HIMS,"Hims & Hers Health, Inc.",16.48,New York Stock Exchange,NYSE,stock
2651,EL,The Estée Lauder Companies Inc.,146.76,New York Stock Exchange,NYSE,stock
2669,PFGC,Performance Food Group Company,76.85,New York Stock Exchange,NYSE,stock
2705,USFD,US Foods Holding Corp.,53.87,New York Stock Exchange,NYSE,stock
2710,DEO,Diageo plc,146.33,New York Stock Exchange,NYSE,stock
2725,COTY,Coty Inc.,12.04,New York Stock Exchange,NYSE,stock
2746,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",98.52,New York Stock Exchange,NYSE,stock
2770,LW,"Lamb Weston Holdings, Inc.",103.18,New York Stock Exchange,NYSE,stock
2828,LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,4.77,New York Stock Exchange,NYSE,stock
2830,POST,"Post Holdings, Inc.",105.12,New York Stock Exchange,NYSE,stock
2908,IH,iHuman Inc.,1.86,New York Stock Exchange,NYSE,stock
2915,BRFS,BRF S.A.,3.38,New York Stock Exchange,NYSE,stock
2924,LFVN,LifeVantage Corporation,6.96,NASDAQ Capital Market,NASDAQ,stock
3071,MSS,Maison Solutions Inc. Class A Common Stock,1.55,NASDAQ,NASDAQ,stock
3079,ANDE,"The Andersons, Inc.",55.98,NASDAQ Global Select,NASDAQ,stock
3080,HAIN,"The Hain Celestial Group, Inc.",8.41,NASDAQ Global Select,NASDAQ,stock
3081,DLTR,"Dollar Tree, Inc.",128.1,NASDAQ Global Select,NASDAQ,stock
3093,APEI,"American Public Education, Inc.",13.94,NASDAQ Global Select,NASDAQ,stock
3119,PRDO,Perdoceo Education Corporation,17.77,NASDAQ Global Select,NASDAQ,stock
