symbol,action,price,date
MO,sell,42.03,2024-03-11 09:30:00
MO,sell,42.9288,2024-03-12 09:30:00
MO,buy,43.34,2024-03-13 09:30:00
MO,sell,43.55,2024-03-14 09:30:00
MO,buy,44.27,2024-03-15 09:30:00
MO,sell,43.87,2024-03-18 09:30:00
MO,buy,44.65,2024-03-19 09:30:00
MO,sell,44.74,2024-03-20 09:30:00
MO,sell,44.6799,2024-03-21 09:30:00
MO,buy,43.7801,2024-03-22 09:30:00
NOMD,sell,19.49,2024-03-11 09:30:00
NOMD,buy,19.69,2024-03-12 09:30:00
NOMD,sell,19.85,2024-03-13 09:30:00
NOMD,buy,19.86,2024-03-14 09:30:00
NOMD,buy,19.47,2024-03-15 09:30:00
NOMD,sell,19.59,2024-03-18 09:30:00
NOMD,sell,19.24,2024-03-19 09:30:00
NOMD,buy,19.81,2024-03-20 09:30:00
NOMD,sell,19.7535,2024-03-21 09:30:00
NOMD,buy,19.77,2024-03-22 09:30:00
STZ,sell,257.9331,2024-03-11 09:30:00
STZ,sell,261.67,2024-03-12 09:30:00
STZ,buy,263.04,2024-03-13 09:30:00
STZ,buy,262.244,2024-03-14 09:30:00
STZ,sell,260.47,2024-03-15 09:30:00
STZ,buy,266.79,2024-03-18 09:30:00
STZ,buy,267.0,2024-03-19 09:30:00
STZ,buy,268.6984,2024-03-20 09:30:00
STZ,sell,267.695,2024-03-21 09:30:00
STZ,buy,270.1,2024-03-22 09:30:00
UNFI,sell,11.89,2024-03-11 09:30:00
UNFI,buy,12.05,2024-03-12 09:30:00
UNFI,sell,11.9,2024-03-13 09:30:00
UNFI,buy,12.0,2024-03-14 09:30:00
UNFI,sell,11.67,2024-03-15 09:30:00
UNFI,sell,11.902,2024-03-18 09:30:00
UNFI,buy,11.94,2024-03-19 09:30:00
UNFI,buy,11.85,2024-03-20 09:30:00
UNFI,sell,12.055,2024-03-21 09:30:00
UNFI,buy,12.25,2024-03-22 09:30:00
BTI,buy,30.7499,2024-03-12 09:30:00
BTI,sell,30.69,2024-03-13 09:30:00
BTI,buy,30.755,2024-03-14 09:30:00
BTI,buy,30.43,2024-03-15 09:30:00
BTI,sell,30.43,2024-03-18 09:30:00
BTI,sell,30.96,2024-03-19 09:30:00
BTI,sell,30.52,2024-03-20 09:30:00
BTI,sell,30.29,2024-03-21 09:30:00
BTI,sell,30.25,2024-03-22 09:30:00
CL,buy,88.085,2024-03-11 09:30:00
CL,sell,88.04,2024-03-12 09:30:00
CL,buy,89.195,2024-03-13 09:30:00
CL,buy,88.88,2024-03-14 09:30:00
CL,sell,88.14,2024-03-15 09:30:00
CL,sell,88.47,2024-03-18 09:30:00
CL,sell,88.275,2024-03-19 09:30:00
CL,buy,88.77,2024-03-20 09:30:00
CL,sell,88.14,2024-03-21 09:30:00
CL,sell,89.015,2024-03-22 09:30:00
KLG,buy,14.58,2024-03-11 09:30:00
KLG,sell,14.54,2024-03-12 09:30:00
KLG,sell,15.48,2024-03-13 09:30:00
KLG,sell,15.8,2024-03-14 09:30:00
KLG,sell,15.9,2024-03-15 09:30:00
KLG,sell,16.78,2024-03-18 09:30:00
KLG,buy,17.01,2024-03-19 09:30:00
KLG,buy,17.55,2024-03-20 09:30:00
KLG,sell,17.35,2024-03-21 09:30:00
KLG,sell,17.97,2024-03-22 09:30:00
ACI,buy,20.81,2024-03-11 09:30:00
ACI,buy,20.91,2024-03-12 09:30:00
ACI,sell,20.885,2024-03-13 09:30:00
ACI,buy,20.93,2024-03-14 09:30:00
ACI,sell,20.55,2024-03-15 09:30:00
ACI,sell,20.7553,2024-03-18 09:30:00
ACI,sell,20.88,2024-03-19 09:30:00
ACI,sell,20.7075,2024-03-20 09:30:00
ACI,sell,20.96,2024-03-21 09:30:00
ACI,buy,20.97,2024-03-22 09:30:00
FMX,sell,121.24,2024-03-11 09:30:00
FMX,buy,123.03,2024-03-12 09:30:00
FMX,sell,121.85,2024-03-13 09:30:00
FMX,sell,123.98,2024-03-14 09:30:00
FMX,sell,124.38,2024-03-15 09:30:00
FMX,buy,128.49,2024-03-18 09:30:00
FMX,sell,126.9,2024-03-19 09:30:00
FMX,sell,125.96,2024-03-20 09:30:00
FMX,sell,129.12,2024-03-21 09:30:00
FMX,sell,129.78,2024-03-22 09:30:00
BGS,sell,11.19,2024-03-11 09:30:00
BGS,sell,11.29,2024-03-12 09:30:00
BGS,sell,11.1,2024-03-13 09:30:00
BGS,buy,11.2047,2024-03-14 09:30:00
BGS,buy,11.165,2024-03-15 09:30:00
BGS,buy,10.7,2024-03-18 09:30:00
BGS,sell,10.49,2024-03-19 09:30:00
BGS,sell,10.6,2024-03-20 09:30:00
BGS,sell,10.93,2024-03-21 09:30:00
BGS,buy,11.275,2024-03-22 09:30:00
DAR,sell,43.525,2024-03-11 09:30:00
DAR,buy,43.944,2024-03-12 09:30:00
DAR,sell,44.0,2024-03-13 09:30:00
DAR,buy,45.035,2024-03-14 09:30:00
DAR,sell,43.69,2024-03-15 09:30:00
DAR,sell,44.315,2024-03-18 09:30:00
DAR,sell,45.185,2024-03-19 09:30:00
DAR,sell,44.19,2024-03-20 09:30:00
DAR,sell,45.84,2024-03-21 09:30:00
DAR,buy,46.39,2024-03-22 09:30:00
DOLE,sell,11.58,2024-03-11 09:30:00
DOLE,sell,11.8,2024-03-12 09:30:00
